,Donald Trump,Kamala Harris,Beto O'Rourke,Bernie Sanders,Joe Biden
2019-03-16 09:00:05.271068,2.55,6.0,8.0,7.0,7.5
2019-03-16 10:00:05.584493,2.55,6.0,8.0,7.0,7.5
2019-03-16 11:00:05.892268,2.55,6.0,8.0,7.0,7.5
2019-03-16 12:00:06.213140,2.55,6.0,8.0,7.0,7.5
2019-03-16 13:00:05.711263,2.55,6.0,8.0,7.0,7.5
2019-03-16 14:00:06.722019,2.55,6.0,8.0,7.0,7.5
2019-03-16 15:00:04.912785,2.55,6.0,8.0,7.0,7.5
2019-03-16 16:00:05.432059,2.55,6.0,8.0,7.0,7.5
2019-03-16 17:00:06.379126,2.55,6.0,8.0,7.0,7.5
2019-03-16 18:00:05.916357,2.55,6.0,8.0,7.0,7.5
2019-03-16 19:00:05.379212,2.55,6.0,8.0,7.0,7.5
2019-03-16 20:00:05.983305,2.55,6.0,8.0,7.0,7.5
2019-03-16 21:00:05.854585,2.55,6.0,8.0,7.0,7.5
2019-03-16 22:00:05.257978,2.55,6.0,8.0,7.0,7.5
2019-03-16 23:00:05.724997,2.55,6.0,8.0,7.0,7.5
2019-03-17 00:00:05.184025,2.55,6.0,8.0,7.0,7.5
2019-03-17 01:00:05.502705,2.55,6.0,8.0,7.0,7.5
2019-03-17 02:00:05.733692,2.55,6.0,8.0,7.0,7.5
2019-03-17 03:00:05.196120,2.55,6.0,8.0,7.0,7.5
2019-03-17 04:00:05.943601,2.55,6.0,8.0,7.0,7.5
2019-03-17 05:00:05.702141,2.55,6.0,8.0,7.0,7.5
2019-03-17 06:00:05.307078,2.55,6.0,8.0,7.0,7.5
2019-03-17 07:00:05.554834,2.55,6.0,8.0,7.0,7.5
2019-03-17 08:00:05.844905,2.55,6.0,8.0,7.0,7.5
2019-03-17 09:00:04.987536,2.55,6.0,8.0,7.0,7.5
2019-03-17 10:00:05.424398,2.55,6.0,8.0,7.0,7.5
2019-03-17 11:00:06.679543,2.55,6.0,8.0,7.0,7.5
2019-03-17 12:00:05.007486,2.55,6.0,8.0,7.0,7.5
2019-03-17 13:00:05.319977,2.55,6.0,8.0,7.0,7.5
2019-03-17 14:00:06.026022,2.55,6.0,8.0,7.0,7.5
2019-03-17 15:00:05.515663,2.55,6.0,8.0,7.0,7.5
2019-03-17 16:00:05.814371,2.55,6.0,8.0,7.0,7.5
2019-03-17 17:00:05.090045,2.55,6.0,8.0,7.0,7.5
2019-03-17 18:00:05.440569,2.55,6.0,8.0,7.0,7.5
2019-03-17 19:00:05.941623,2.55,6.0,8.0,7.0,7.5
2019-03-17 20:00:05.224374,2.55,6.0,8.0,7.0,7.5
2019-03-17 21:00:05.997661,2.55,6.0,8.0,7.0,7.5
2019-03-17 22:00:05.562718,2.55,6.0,8.0,7.0,7.5
2019-03-17 23:00:06.149207,2.55,6.0,8.0,7.0,7.5
2019-03-18 00:00:05.552379,2.55,6.0,8.0,7.0,7.5
2019-03-18 01:00:05.892272,2.55,6.0,8.0,7.0,7.5
